iter	Passed	Remaining
171	562	2705
172	563	2695
173	565	2685
174	569	2683
175	571	2674
176	573	2665
177	575	2656
178	577	2649
179	579	2639
180	581	2629
181	584	2625
182	586	2619
183	588	2611
184	591	2604
185	593	2595
186	594	2586
187	596	2578
188	599	2573
189	601	2565
190	604	2559
191	606	2552
192	608	2543
193	609	2534
194	611	2525
195	614	2520
196	616	2513
197	618	2505
198	620	2497
199	622	2489
200	624	2481
201	626	2473
202	628	2466
203	631	2462
204	633	2455
205	635	2448
206	637	2440
207	638	2432
208	640	2424
209	642	2416
210	644	2411
211	647	2406
212	649	2399
213	651	2393
214	653	2386
215	655	2378
216	657	2371
217	659	2365
218	662	2362
219	664	2355
220	666	2349
221	668	2342
222	670	2335
223	672	2328
224	674	2322
225	676	2318
226	679	2314
227	681	2309
228	684	2304
229	686	2299
230	689	2294
231	692	2291
232	694	2285
233	696	2279
234	698	2274
235	700	2269
236	703	2264
237	706	2261
238	708	2257
239	710	2251
240	713	2246
241	716	2245
242	718	2239
243	720	2233
244	722	2227
245	725	2222
246	727	2217
247	729	2211
248	731	2205
249	733	2200
250	735	2194
251	737	2187
252	739	2182
253	741	2176
254	742	2170
255	744	2164
256	746	2158
257	748	2153
258	750	2147
259	752	2141
260	754	2135
261	756	2130
262	758	2126
263	761	2122
264	763	2117
265	765	2111
266	767	2107
267	769	2102
268	771	2097
269	773	2092
270	775	2086
271	777	2081
272	780	2078
273	783	2077
274	788	2077
275	790	2073
276	792	2069
277	795	2064
278	796	2059
279	798	2054
280	801	2049
281	803	2045
282	805	2040
283	807	2036
284	809	2031
285	811	2025
286	813	2021
287	815	2016
288	817	2010
289	819	2005
290	821	2000
291	823	1996
292	825	1991
293	827	1985
294	828	1980
295	830	1976
296	833	1972
297	835	1967
298	837	1964
299	839	1959
300	841	1954
301	843	1950
302	845	1945
303	848	1941
304	850	1938
305	852	1934
306	854	1928
307	856	1924
308	858	1920
309	860	1916
310	863	1912
311	865	1908
312	867	1904
313	869	1900
314	872	1896
315	874	1892
316	876	1888
317	879	1885
318	881	1881
319	883	1876
320	885	1872
321	890	1874
322	892	1871
323	895	1867
324	898	1865
325	901	1863
326	903	1860
327	905	1856
328	908	1852
329	912	1851
330	914	1848
331	916	1843
332	918	1839
333	920	1835
334	923	1832
335	929	1836
336	931	1832
337	933	1828
338	935	1824
339	938	1820
340	941	1819
341	943	1816
342	945	1811
343	947	1807
344	949	1803
345	952	1800
346	954	1796
347	958	1795
348	960	1792
349	963	1789
350	966	1786
351	968	1782
352	970	1779
353	972	1775
354	975	1771
355	977	1767
356	979	1764
357	981	1760
358	983	1756
359	985	1752
360	987	1748
361	989	1744
362	991	1739
363	993	1735
364	995	1731
365	996	1726
366	999	1723
367	1001	1719
368	1002	1714
369	1004	1710
370	1006	1706
371	1008	1702
372	1010	1698
373	1012	1694
374	1014	1690
375	1015	1686
376	1017	1682
377	1019	1677
378	1021	1673
379	1023	1669
380	1024	1665
381	1026	1661
382	1029	1657
383	1031	1654
384	1033	1650
385	1036	1648
386	1038	1644
387	1040	1641
388	1043	1639
389	1046	1637
390	1048	1633
391	1051	1630
392	1053	1626
393	1055	1623
394	1058	1620
395	1060	1617
396	1063	1615
397	1065	1611
398	1067	1608
399	1069	1604
400	1072	1601
401	1076	1600
402	1078	1598
403	1080	1594
404	1082	1591
405	1085	1588
406	1089	1586
407	1092	1584
408	1094	1582
409	1098	1581
410	1101	1578
411	1103	1574
412	1105	1571
413	1107	1568
414	1113	1569
415	1115	1566
416	1119	1565
417	1122	1562
418	1126	1562
419	1132	1563
420	1135	1561
421	1137	1558
422	1140	1555
423	1145	1556
424	1148	1554
425	1151	1551
426	1153	1547
427	1159	1550
428	1161	1546
429	1163	1542
430	1166	1539
431	1168	1536
432	1171	1533
433	1175	1533
434	1177	1529
435	1179	1526
436	1182	1523
437	1184	1520
438	1189	1519
439	1191	1516
440	1193	1513
441	1196	1510
442	1198	1507
443	1202	1506
444	1205	1503
445	1207	1500
446	1210	1497
447	1212	1493
448	1214	1490
449	1218	1488
450	1221	1486
451	1223	1483
452	1226	1480
453	1230	1480
454	1235	1480
455	1237	1476
456	1240	1473
457	1243	1470
458	1245	1468
459	1250	1467
460	1252	1464
461	1254	1461
462	1257	1458
463	1260	1455
464	1262	1452
465	1266	1450
466	1268	1447
467	1270	1443
468	1272	1440
469	1274	1437
470	1277	1434
471	1280	1431
472	1282	1429
473	1284	1425
474	1289	1425
475	1292	1423
476	1295	1419
477	1297	1416
478	1300	1414
479	1305	1414
480	1308	1412
481	1310	1408
482	1313	1405
483	1315	1402
484	1318	1399
485	1322	1398
486	1325	1395
487	1327	1392
488	1329	1389
489	1331	1385
490	1333	1382
491	1337	1381
492	1339	1377
493	1342	1374
494	1344	1371
495	1346	1368
496	1349	1366
497	1353	1364
498	1355	1361
499	1358	1358
500	1387	1382
501	1403	1392
502	1410	1393
503	1415	1393
504	1422	1394
505	1427	1393
506	1453	1413
507	1456	1410
508	1459	1407
509	1462	1404
510	1464	1401
511	1468	1399
512	1471	1396
513	1473	1393
514	1476	1390
515	1478	1387
516	1483	1385
517	1485	1382
518	1487	1378
519	1489	1374
520	1491	1371
521	1493	1367
522	1497	1365
523	1499	1362
524	1503	1360
525	1513	1363
526	1517	1362
527	1521	1359
528	1523	1356
529	1531	1358
530	1535	1356
531	1538	1353
532	1546	1355
533	1549	1352
534	1552	1349
535	1555	1346
536	1558	1344
537	1561	1341
538	1564	1337
539	1566	1334
540	1569	1331
541	1571	1327
542	1577	1327
543	1580	1324
544	1582	1321
545	1586	1318
546	1591	1317
547	1593	1314
548	1597	1312
549	1599	1308
550	1601	1304
551	1603	1301
552	1607	1299
553	1609	1296
554	1611	1292
555	1615	1289
556	1617	1286
557	1625	1287
558	1628	1284
559	1631	1281
560	1634	1279
561	1638	1277
562	1641	1274
563	1644	1271
564	1646	1267
565	1649	1264
566	1653	1262
567	1656	1259
568	1658	1256
569	1661	1253
570	1663	1249
571	1667	1247
572	1671	1245
573	1673	1241
574	1675	1238
575	1677	1234
576	1680	1232
577	1685	1230
578	1687	1227
579	1690	1224
580	1693	1221
581	1696	1218
582	1700	1216
583	1702	1212
584	1704	1209
585	1706	1205
586	1710	1203
587	1711	1199
588	1714	1196
589	1716	1193
590	1719	1189
591	1722	1187
592	1724	1183
593	1727	1180
594	1731	1178
595	1734	1175
596	1736	1172
597	1739	1169
598	1741	1165
599	1743	1162
600	1747	1160
601	1749	1156
602	1751	1153
603	1754	1149
604	1755	1146
605	1758	1143
606	1762	1141
607	1764	1137
608	1766	1133
609	1767	1130
610	1769	1126
611	1772	1123
612	1774	1120
613	1776	1117
614	1779	1113
615	1781	1110
616	1783	1106
617	1784	1103
618	1786	1099
619	1791	1097
620	1793	1094
621	1795	1091
622	1797	1087
623	1799	1084
624	1802	1081
625	1805	1078
626	1808	1075
627	1810	1072
628	1812	1069
629	1815	1066
630	1818	1063
631	1822	1061
632	1824	1058
633	1827	1055
634	1829	1051
635	1832	1048
636	1834	1045
637	1839	1043
638	1841	1040
639	1843	1036
640	1845	1033
641	1847	1030
642	1849	1026
643	1852	1024
644	1855	1021
645	1857	1018
646	1859	1014
647	1862	1011
648	1864	1008
649	1868	1005
650	1870	1002
651	1872	999
652	1875	996
653	1877	993
654	1879	990
655	1885	988
656	1887	985
657	1889	981
658	1891	978
659	1894	975
660	1898	973
661	1901	971
662	1904	967
663	1906	964
664	1910	962
665	1912	959
666	1916	956
667	1919	953
668	1921	950
669	1923	947
670	1925	943
671	1928	941
672	1932	938
673	1934	935
674	1936	932
675	1939	929
676	1941	926
677	1945	923
678	1947	920
679	1949	917
680	1951	914
681	1953	910
682	1955	907
683	1957	904
684	1960	901
685	1963	898
686	1966	895
687	1969	892
688	1971	889
689	1976	887
690	1978	884
691	1981	881
692	1983	878
693	1986	875
694	1990	873
695	1995	871
696	1997	868
697	2001	865
698	2005	863
699	2007	860
700	2009	857
701	2011	853
702	2013	850
703	2015	847
704	2017	844
705	2025	843
706	2027	840
707	2029	837
708	2032	834
709	2034	831
710	2038	828
711	2040	825
712	2042	822
713	2044	819
714	2047	816
715	2052	814
716	2055	811
717	2058	808
718	2060	805
719	2063	802
720	2067	799
721	2069	796
722	2071	793
723	2072	790
724	2074	786
725	2077	783
726	2078	780
727	2081	777
728	2083	774
729	2086	771
730	2088	768
731	2089	765
732	2092	762
733	2095	759
734	2098	756
735	2100	753
736	2103	750
737	2105	747
738	2107	744
739	2110	741
740	2114	739
741	2116	735
742	2117	732
743	2119	729
744	2121	726
745	2123	723
746	2125	719
747	2128	717
748	2131	714
749	2133	711
750	2135	707
751	2138	705
752	2143	703
753	2146	700
754	2149	697
755	2151	694
756	2154	691
757	2157	688
758	2160	685
759	2161	682
760	2164	679
761	2166	676
762	2169	673
763	2174	671
764	2176	668
765	2178	665
766	2180	662
767	2184	659
768	2190	658
769	2193	655
770	2195	652
771	2196	648
772	2198	645
773	2201	642
774	2205	640
775	2207	637
776	2208	633
777	2210	630
778	2213	627
779	2215	624
780	2217	621
781	2220	619
782	2222	615
783	2224	612
784	2226	609
785	2228	606
786	2230	603
787	2233	600
788	2236	597
789	2239	595
790	2241	592
791	2243	589
792	2245	586
793	2250	583
794	2252	580
795	2254	577
796	2257	574
797	2259	571
798	2261	568
799	2264	566
800	2266	563
801	2269	560
802	2271	557
803	2274	554
804	2277	551
805	2281	549
806	2284	546
807	2286	543
808	2289	540
809	2291	537
810	2293	534
811	2296	531
812	2298	528
813	2300	525
814	2303	522
815	2305	519
816	2307	516
817	2310	514
818	2312	511
819	2314	508
820	2316	505
821	2318	502
822	2320	499
823	2323	496
824	2326	493
825	2330	490
826	2332	488
827	2334	485
828	2338	482
829	2353	482
830	2357	479
831	2359	476
832	2360	473
833	2362	470
834	2366	467
835	2373	465
836	2376	462
837	2378	459
838	2381	456
839	2383	454
840	2388	451
841	2390	448
842	2392	445
843	2394	442
844	2397	439
845	2399	436
846	2406	434
847	2408	431
848	2410	428
849	2426	428
850	2428	425
851	2430	422
852	2434	419
853	2436	416
854	2439	413
855	2441	410
856	2443	407
857	2445	404
858	2447	401
859	2453	399
860	2455	396
861	2457	393
862	2460	390
863	2464	387
864	2468	385
865	2470	382
866	2472	379
867	2474	376
868	2476	373
869	2481	370
870	2482	367
871	2484	364
872	2486	361
873	2488	358
874	2491	355
875	2493	353
876	2496	350
877	2498	347
878	2500	344
879	2502	341
880	2505	338
881	2509	335
882	2512	332
883	2517	330
884	2521	327
885	2527	325
886	2529	322
887	2531	319
888	2533	316
889	2538	313
890	2540	310
891	2543	307
892	2545	304
893	2546	301
894	2548	299
895	2550	296
896	2552	293
897	2556	290
898	2558	287
899	2561	284
900	2563	281
901	2565	278
902	2567	275
903	2570	273
904	2572	270
905	2574	267
906	2576	264
907	2579	261
908	2581	258
909	2582	255
910	2584	252
911	2587	249
912	2589	246
913	2591	243
914	2593	240
915	2595	238
916	2597	235
917	2600	232
918	2603	229
919	2605	226
920	2607	223
921	2609	220
922	2613	218
923	2617	215
924	2619	212
925	2621	209
926	2624	206
927	2628	203
928	2636	201
929	2638	198
930	2640	195
931	2642	192
932	2647	190
933	2649	187
934	2652	184
935	2653	181
936	2656	178
937	2658	175
938	2666	173
939	2668	170
940	2669	167
941	2671	164
942	2673	161
943	2712	160
944	2717	158
945	2723	155
946	2731	152
947	2747	150
948	2752	147
949	2755	145
950	2779	143
951	2782	140
952	2783	137
953	2785	134
954	2788	131
955	2791	128
956	2794	125
957	2796	122
958	2798	119
959	2800	116
960	2802	113
961	2808	110
962	2811	108
963	2814	105
964	2818	102
965	2822	99
966	2825	96
967	2828	93
968	2831	90
969	2834	87
970	2838	84
971	2841	81
972	2844	78
973	2846	75
974	2848	73
975	2850	70
976	2855	67
977	2857	64
978	2859	61
979	2862	58
980	2864	55
981	2866	52
982	2869	49
983	2872	46
984	2874	43
985	2875	40
986	2877	37
987	2881	34
988	2887	32
989	2889	29
990	2891	26
991	2893	23
992	2896	20
993	2900	17
994	2902	14
995	2905	11
996	2908	8
997	2910	5
998	2912	2
999	2915	0
